label,niter,value,w_a1,w_z1,w_x1,w_x2,w_x_y,w_xy_rt
max,156.28346642409647,0.2983196984688946,1.2,0.3,0.1,0.1,0.1,0.1
0,190.0,0.29101881814900415,0.9,0.3,0.1,0.1,0.6,0.1
1,177.25636962053858,0.09817668944297794,1.2,0.8,0.6,0.6,0.1,0.6
2,140.0,0.09817668944297794,1.2,0.8,0.1,0.6,0.1,0.6
3,154.3334198113078,0.29059825580625087,0.9,0.3,0.6,0.1,0.6,0.1
4,184.1497680738141,0.09817668944297794,1.2,0.8,0.6,0.6,0.1,0.6
5,169.85986102610602,0.29090191131653925,0.9,0.3,0.1,0.1,0.6,0.1
6,149.95767969286354,0.29047893809600067,0.9,0.3,0.6,0.1,0.6,0.1
7,190.0,0.09817668944297794,1.2,0.8,0.6,0.6,0.1,0.6
8,167.2138650526638,0.09703858786203537,1.2,0.8,0.6,0.1,0.6,0.6
9,173.75271295208967,0.29076316660548845,0.9,0.3,0.1,0.1,0.6,0.1
10,180.5282754445339,0.2904826960369282,0.9,0.3,0.1,0.1,0.6,0.1
11,158.7675009038947,0.2907183561130916,0.9,0.3,0.1,0.1,0.6,0.1
12,140.0,0.29091428485263215,0.9,0.3,0.6,0.1,0.6,0.10000000000000003
13,152.42147388310082,0.2959870097764039,0.9,0.3,0.1,0.6,0.1,0.1
14,186.8579409652214,0.29088824606324315,0.9,0.3,0.1,0.1,0.6,0.1
15,142.0510808873884,0.29645374333030533,0.9,0.3,0.1,0.1,0.1,0.1
16,157.36900568419657,0.296087683082444,0.9,0.3,0.6,0.6,0.1,0.1
17,156.28346642409647,0.2983196984688946,1.2,0.3,0.1,0.1,0.1,0.1
18,141.42581194004168,0.29617096941488913,0.9,0.3,0.6,0.6,0.1,0.1
19,171.55955077080543,0.2960901876732046,0.9,0.3,0.1,0.6,0.1,0.1
