w_a1,w_z1,w_z2,w_xy,w_xy_rt,c_r1,c_r2,value,label
1.2,0.3,0.1,0.01,0.01,1.173152234887409,4.577638067255422,0.4975253894736615,max
0.9,0.7,0.1,0.2,0.2,1.5,5.0,0.19664059933419442,0
1.2,0.3,0.4,0.010000000000000009,0.2,0.5,0.1,0.19789322775466694,1
0.9,0.7,0.1,0.2,0.2,0.5,2.6696270924869094,0.18324707259355832,2
0.9,0.3,0.1,0.01,0.01,1.5,0.1,0.4864326426794375,3
1.2,0.3,0.4,0.01,0.01,0.5,5.0,0.4203491739665456,4
1.2,0.7,0.4,0.2,0.01,1.5,0.1,0.4185070675851231,5
1.2,0.3,0.1,0.01,0.2,1.5,2.882944646677155,0.2241329416479188,6
0.9,0.3,0.4,0.2,0.01,1.5,1.0489178546296969,0.47744446412075414,7
0.9,0.3,0.4,0.2,0.01,0.5,4.131316516319786,0.4190893294491509,8
1.2,0.7,0.4,0.01,0.01,0.5,4.0956413811995835,0.39266885586193545,9
1.2,0.3,0.1,0.2,0.01,1.5,0.5960659809202169,0.47656266686773135,10
1.2,0.3,0.4,0.2,0.01,1.5,4.505668041291952,0.460174326417459,11
0.9,0.7,0.1,0.01,0.01,1.5,0.7390546426857305,0.48277543247597415,12
1.2,0.3,0.4,0.01,0.01,1.5,0.9128176120789734,0.47667025397305385,13
1.2,0.3,0.4,0.2,0.01,0.5,3.5366918990153957,0.40960252205146463,14
0.9,0.3,0.4,0.01,0.01,1.5,5.0,0.49284664665510525,15
0.9,0.3,0.1,0.01,0.01,0.5,1.403757778580304,0.4249150969380806,16
1.2,0.3,0.1,0.01,0.01,1.173152234887409,4.577638067255422,0.4975253894736615,17
0.9,0.3,0.4,0.01,0.01,1.3054636953030798,4.093039554144782,0.496489433772405,18
1.2,0.3,0.4,0.01,0.01,1.0211649377170255,4.3482952182597785,0.4753927089328377,19
0.9,0.3,0.1,0.01,0.01,1.5,1.4666554417162205,0.4864200896702432,20
0.9,0.3,0.1,0.01,0.01,0.5,3.717337455893419,0.42256560169449525,21
0.9,0.3,0.1,0.2,0.01,1.0419546962164932,5.0,0.46630676283632966,22
0.9,0.3,0.1,0.01,0.01,1.167129821111638,0.8135682595737634,0.4844346894680364,23
0.9,0.7,0.4,0.01,0.01,1.5,3.1552838774918643,0.45788839767276296,24
1.2,0.3,0.1,0.01,0.01,1.5,5.0,0.4939049899197083,25
0.9,0.3,0.1,0.01,0.01,1.5,4.374679612620461,0.4891038451459368,26
0.9,0.3,0.1,0.2,0.01,1.2125953620803027,3.568494355342664,0.4726757590370003,27
1.2,0.7,0.1,0.01,0.01,1.3209234589040493,3.7529805014656996,0.468833061292065,28
0.9,0.3,0.4,0.01,0.01,1.5,0.4688248824017307,0.49392072003078125,29
0.9,0.3,0.1,0.01,0.01,1.5,0.7800236847563455,0.4853624361503195,30
0.9,0.7,0.4,0.01,0.01,1.5,1.6869199923438372,0.4574014668087444,31
0.9,0.7,0.1,0.01,0.01,0.6941742609404927,0.1,0.46329434500781486,32
0.9,0.7,0.4,0.01,0.01,0.7669782257029505,0.8721469388203493,0.44664677878808406,33
0.9,0.3,0.1,0.2,0.01,1.0108174698384134,0.1,0.46142176135320967,34
1.2,0.3,0.1,0.01,0.01,1.2344072119538088,3.785388471823601,0.49716495331422483,35
0.9,0.3,0.4,0.01,0.01,1.499999999726589,2.100352881053417,0.49254488919648054,36
0.9,0.3,0.4,0.01,0.01,1.1937511206715283,1.605594929869193,0.49593940812963866,37
0.9,0.3,0.4,0.01,0.01,1.2009525488880997,3.5088365910330657,0.4950744177103361,38
0.9,0.7,0.1,0.01,0.01,1.4756188044266436,0.10000001003396256,0.48270065828093756,39
