w_a1,w_z1,w_z2,w_xy_rt,c_rt1,c_rt2,value,label
1.2,0.3000000045911405,0.10612339983048141,0.01,1.2247861929782409,2.2566656376403595,0.5041500755715568,max
0.9,0.7,0.1,0.2,1.5,5.0,0.20271688341619942,0
1.2,0.3,0.4,0.01,0.5,0.1,0.4189534277661565,1
1.2,0.3,0.1,0.2,0.5,5.0,0.2012054356418223,2
1.2,0.3,0.4,0.01,1.5,0.10000000000000009,0.4716571286019082,3
1.2,0.7,0.4,0.01,1.5,3.5375495647619446,0.42888422371225216,4
0.9,0.7,0.4,0.01,1.5,0.1,0.4583869243789132,5
1.2,0.7,0.1,0.01,1.5,0.1,0.4655593372759105,6
1.2,0.7,0.4,0.01,0.5,3.7923526420305986,0.39226936665860673,7
1.2,0.3,0.4,0.01,1.5,5.0,0.4702638958903099,8
1.2,0.7,0.4,0.2,1.5,0.1,0.19641914946917585,9
0.9,0.3,0.1,0.01,1.5,0.1,0.49599156240096764,10
1.2,0.3,0.1,0.01,1.5,1.500963023346973,0.49839868527200054,11
1.2,0.3,0.1,0.01,0.5,1.3429804939588719,0.4390943902918648,12
0.9,0.3,0.4,0.01,1.5,1.0218434452354148,0.4931156295127104,13
1.2,0.3,0.1,0.01,1.5,4.116295492821705,0.49882183866188734,14
0.9,0.3,0.4,0.01,1.5,4.210087791820601,0.4934777566119868,15
1.2,0.3,0.4,0.01,1.163489663241304,4.152696153155602,0.47842923430826023,16
0.9,0.3,0.1,0.01,1.5,2.420113887487933,0.4971608189847695,17
0.9,0.7,0.1,0.01,0.5,0.1,0.43201604790342685,18
0.9,0.7,0.1,0.01,1.5,1.0670649618484291,0.48971137582821445,19
0.9,0.3,0.1,0.01,1.110091279529354,0.7737177052327802,0.4930902561587803,20
0.9,0.3,0.1,0.01,1.5,1.518806963087217,0.49712457449176695,21
0.9,0.3,0.1,0.01,1.5,3.414013116950993,0.4974941713827364,22
1.2,0.3,0.1,0.01,1.5,0.6879482625679779,0.49858276844067273,23
1.2,0.3,0.1,0.01,1.5,2.9452721438228644,0.49914029170862706,24
0.9,0.3,0.1,0.01,1.2161421913945052,4.53323154693731,0.49672468274699827,25
1.2,0.3,0.4,0.01,1.5,2.2451009955995196,0.47106177689207396,26
0.9,0.3,0.4,0.01,0.9234766132180743,5.0,0.48615424380600436,27
0.9000000170996009,0.3,0.1,0.01,1.174281643696031,3.914721021814198,0.49489113523692163,28
0.9,0.3,0.1,0.01,1.4999999966481736,0.8606077593263701,0.49681005494125685,29
0.9,0.3,0.4,0.01,0.5000000015707473,4.46263959289345,0.4302288336672547,30
1.2,0.6936593329458718,0.1,0.01,1.5,2.244652247044242,0.4669585876876189,31
1.1999999927076386,0.3006304461834001,0.10000000003922882,0.01,1.121208901839146,0.2414431600207639,0.5025117601160773,32
0.900353762007507,0.30003873384844687,0.10003053195201143,0.01,1.0890694777888426,0.10015894003235669,0.491716605996163,33
1.2,0.6999999993882211,0.1,0.01,0.8835077684369431,0.8636701720965136,0.4676536187178278,34
1.2,0.3000000045911405,0.10612339983048141,0.01,1.2247861929782409,2.2566656376403595,0.5041500755715568,35
1.1999999891760167,0.3,0.1,0.01,0.9897015701168399,2.9274028954801823,0.5000938405404128,36
1.2,0.30000000347206857,0.10000000495429605,0.01,1.2955388488749178,3.5922993435084547,0.5037846614245034,37
0.9,0.3,0.1,0.01,1.4999999996425812,5.0,0.49854880786860545,38
1.1846698200980728,0.3000000012973828,0.1000000011295656,0.01,1.2363142049264104,1.280966346535456,0.5023992376684029,39
