w_a1,w_z1,w_z2,w_xy_rt,c_rt1,c_rt2,eps0,step_eps,value,label
0.9,0.3,0.1,0.01,1.5,3.7381288237575236,0.003,1e-05,0.5063485500065259,max
0.9,0.7,0.1,0.01,0.5,5.0,0.003,1e-05,0.4440462400229639,0
1.2,0.7,0.1,0.01,1.5,5.0,0.003,0.0,0.4216082589300635,1
1.2,0.7,0.4,0.2,0.5,5.0,0.004,1e-05,0.22201774329217794,2
0.9,0.7,0.1,0.01,1.5,0.10000000000000009,0.003,1e-05,0.49082481588228777,3
0.9,0.7,0.1,0.01,1.5,3.5711378939830434,0.004,1e-05,0.4950154442593694,4
0.9,0.7,0.1,0.01,1.5,1.5401137146427004,0.003,1.8821598869401866e-10,0.4606238705564517,5
0.9,0.7,0.4,0.01,1.5,5.0,0.003,1e-05,0.45138149867362803,6
1.2,0.7,0.4,0.01,1.5,0.1,0.004,1e-05,0.4846215835927115,7
0.9,0.3,0.1,0.01,1.5,5.0,0.003,1e-05,0.5054743092927143,8
0.9,0.7,0.1,0.2,1.5,5.0,0.003,1e-05,0.19891718296450148,9
0.9,0.3,0.4,0.01,0.5,3.8951038734650645,0.003,0.0,0.4172940363606644,10
0.9,0.7,0.4,0.01,0.5,0.1,0.003,0.0,0.3799755283588815,11
1.2,0.3,0.4,0.01,1.5,4.018568725061931,0.003,0.0,0.4383651565263599,12
1.2,0.3,0.1,0.01,1.5,0.1,0.003,0.0,0.48105505389740577,13
0.9,0.3,0.4,0.01,1.5,0.1,0.004,1e-05,0.4797283412402182,14
0.9,0.3,0.4,0.01,0.5,5.0,0.004,0.0,0.4299592570790801,15
0.9,0.7,0.1,0.01,0.5,3.0473474010739494,0.004,1e-05,0.4114237930221908,16
0.9,0.7,0.4,0.01,1.5,2.8472686810441914,0.003,1e-05,0.45171255905081437,17
0.9,0.3,0.1,0.01,1.5,3.199728552891127,0.003,1e-05,0.5062332795489307,18
0.9,0.3,0.1,0.01,1.116480201155304,4.357120238289394,0.004,8.123931814109546e-06,0.4026008377113174,19
1.2,0.7,0.1,0.01,1.5,2.8461894078472714,0.003,1e-05,0.459150110226833,20
1.2,0.3,0.4,0.01,1.5,0.9273656884660892,0.003,1e-05,0.46181913263709673,21
1.2,0.3,0.4,0.01,1.5,5.0,0.003,1e-05,0.4613812543155474,22
1.2,0.7,0.1,0.01,1.5,0.693284740933309,0.004,2.3373725139070002e-07,0.4917945404889492,23
0.9,0.7,0.4,0.01,1.5,0.6760126723004781,0.003,0.0,0.4178111824584816,24
1.2,0.3,0.1,0.01,1.5,1.6427855045867898,0.004,1e-05,0.45868296773734796,25
1.2,0.3,0.1,0.01,0.5,0.1,0.004,1e-05,0.3587434836808391,26
1.2,0.7,0.1,0.2,1.5,0.1,0.004,1e-05,0.23865532092858874,27
1.2,0.3,0.4,0.01,0.5,2.8438899072372554,0.003,9.87030271842398e-06,0.4312102534951875,28
0.9,0.3,0.1,0.01,1.5,0.8571997232963594,0.004,9.988150021994739e-06,0.40410522161256585,29
1.2,0.3,0.1,0.01,0.5,5.0,0.003,1e-05,0.4366620865918618,30
0.9,0.3,0.4,0.01,1.5,3.4816207701060304,0.004,5.214108898178021e-10,0.4972030238066131,31
0.9,0.3,0.1,0.01,0.5,2.244441406468047,0.003,2.980612725021088e-07,0.44626398260415956,32
0.9,0.3,0.1,0.01,1.5,3.7381288237575236,0.003,1e-05,0.5063485500065259,33
1.2,0.7,0.1,0.01,1.5,1.332801329169927,0.003,0.0,0.42178641308612475,34
0.9,0.3,0.1,0.01,1.5,2.326754191148951,0.004,1.13896695638311e-06,0.4528995386956769,35
1.2,0.3,0.4,0.01,1.0892922580141349,0.3000105054163513,0.004,0.0,0.4914224015870626,36
1.2,0.3,0.4,0.01,0.5,1.6393141971428256,0.004,0.0,0.4297129261674405,37
1.2,0.7,0.1,0.01,1.015537164616511,0.38805964032489293,0.004,7.924564399991399e-07,0.49217319050590796,38
1.2,0.3,0.1,0.01,1.5,3.4178398571280617,0.004,8.426268364699212e-06,0.468744504737353,39
