w_a1,w_z1,w_z2,w_xy_rt,eps0,value,label
1.0482040054426036,0.6375471480444981,0.4,0.09733422649198836,0.01,0.3453600453583621,max
0.7,0.3,0.4,0.002,0.01,0.16273954845159921,0
0.7,0.7,0.1,0.002,0.001,0.19405234128831966,1
0.7,0.7,0.4,0.002,0.001,0.166801124582415,2
1.2,0.7,0.1,0.002,0.01,0.25578901149186883,3
1.2,0.3,0.4,0.002,0.01,0.19268584998859284,4
1.2,0.7,0.4,0.002,0.001,0.12078233326732606,5
1.2,0.3,0.1,0.002,0.01,0.17997014677373366,6
0.7,0.3,0.1,0.002,0.01,0.1576069765582641,7
1.2,0.7,0.1,0.2,0.01,0.29784846768966156,8
0.9520698033822939,0.7,0.4,0.2,0.01,0.2935080421892445,9
0.7,0.7,0.1,0.2,0.01,0.2681092768924005,10
0.9597393415786699,0.7,0.18097195204565492,0.06195503925976391,0.01,0.3220277555819039,11
0.7,0.7,0.4,0.2,0.01,0.2763397893699716,12
1.2,0.7,0.32739486643953764,0.2,0.01,0.3094971619659245,13
0.9620179759292261,0.4977746823206072,0.30599879449994694,0.002,0.01,0.21365789312042915,14
0.7,0.3,0.4,0.2,0.01,0.2193327134754679,15
1.1035683984180322,0.7,0.24046545149194232,0.130904640253242,0.01,0.32618349292989607,16
1.2,0.3,0.4,0.2,0.01,0.255372026358201,17
1.2,0.5163552123497122,0.4,0.1527032878055773,0.01,0.30928576514393347,18
1.2,0.5403798484982884,0.19757997365948884,0.06663147033103471,0.01,0.3201049398197914,19
0.7,0.3,0.1,0.2,0.01,0.20437227626984306,20
0.7,0.5245801043411237,0.1,0.11662041932759878,0.01,0.2527712578629391,21
1.2,0.3,0.10000000000000002,0.2,0.01,0.23884311167632602,22
0.9134709304233127,0.7,0.3313894848389233,0.0684438392272247,0.01,0.3366047074084473,23
0.7,0.5272632053065109,0.4,0.13878801520997364,0.01,0.2742304256825857,24
1.2,0.5792860842915253,0.1,0.11691437048713016,0.01,0.3063713529275928,25
0.7,0.7,0.24719519433502865,0.125046606284288,0.01,0.2908678425565676,26
1.2,0.6184124756128094,0.2621561603261337,0.13390307267967858,0.01,0.3242386780705656,27
1.0482040054426036,0.6375471480444981,0.4,0.09733422649198836,0.01,0.3453600453583621,28
1.0372106907178547,0.6559647231211683,0.27381810834295073,0.011500670174462066,0.01,0.2537072702079601,29
0.8662512166512701,0.7,0.1,0.12777713715349368,0.01,0.295499337316273,30
0.8606160846925448,0.6278914026675798,0.4,0.10345665737308399,0.01,0.31792610988564374,31
1.2,0.3,0.26003145235859676,0.11662829130875546,0.01,0.2617240332525364,32
1.1055855087423705,0.7,0.4,0.14941521196002908,0.01,0.33287689560908823,33
0.9262924682787648,0.7,0.2723929255992373,0.1284216919420859,0.01,0.31243968527500987,34
1.0656653696831346,0.7,0.1,0.08693102476945702,0.01,0.31913779230150285,35
0.988922815259071,0.3,0.4,0.10364835055927404,0.01,0.25741693850279856,36
1.0975656663861995,0.49847176206051974,0.4,0.09354629670352724,0.01,0.3291162507925607,37
0.958845260591464,0.7,0.4,0.09708686288154612,0.01,0.34152972683568095,38
0.9118542725792084,0.7,0.1,0.002,0.01,0.2335688526174347,39
