c_rt1,c_rt2,w_a1,w_z1,w_z2,w_xy_rt,eps0,value,label
1.455211025080847,4.793576540450536,0.7792452332256761,0.49174866136533146,0.29330013833777435,0.04554882548273348,0.006942953487634,0.3920742515710828,max
0.5,5.0,1.2,0.7,0.4,0.2,0.0010000000000000009,0.032261111025049256,0
1.5,3.083923248609022,0.7,0.7,0.4,0.2,0.001,0.03798359747592535,1
0.5,0.10000000000000009,0.7,0.3,0.1,0.002,0.01,0.17490068698934141,2
1.5,5.0,1.2,0.3,0.10000000000000003,0.002,0.01,0.16338558889095836,3
0.5,2.027515107467838,0.7,0.3,0.1,0.002,0.01,0.17436974606379924,4
0.5,5.0,0.7,0.3,0.1,0.002,0.01,0.17253844075205893,5
1.5,0.10000000000000009,0.7,0.3,0.1,0.002,0.01,0.1418501264029509,6
1.5,5.0,0.7,0.7,0.1,0.2,0.001,0.0380795813819836,7
0.5,3.7831531833608616,0.7,0.3,0.4,0.002,0.01,0.1821786483278719,8
1.5,4.224284092633215,0.7,0.3,0.4,0.2,0.01,0.22462630872119896,9
1.5,2.086605532872972,1.2,0.3,0.1,0.002,0.01,0.16300946092086455,10
1.5,4.160124877122171,1.2,0.7,0.4,0.002,0.01,0.2584127415942361,11
0.5,2.6505754188457997,1.2,0.7,0.1,0.002,0.001,0.14578160240052337,12
1.5,1.4231679703226767,0.7,0.7,0.1,0.002,0.01,0.20440095341234232,13
1.1915709291231658,5.0,0.7,0.3,0.4,0.002,0.001,0.2627923498040304,14
0.5,4.248848597139016,0.7,0.7,0.1,0.002,0.01,0.232500470514561,15
0.5,0.1,1.2,0.7,0.1,0.2,0.01,0.27299666232862296,16
0.5,1.056557330719661,1.2,0.3,0.1,0.2,0.01,0.21426861946070697,17
0.5,0.8244917088230046,0.7,0.7,0.4,0.2,0.01,0.26303379323752113,18
1.5,4.235563444901335,0.7,0.7,0.1,0.002,0.01,0.20364816347822495,19
0.5,4.262773991682735,1.2,0.3,0.1,0.002,0.01,0.18544341629191852,20
0.5,0.1,1.2,0.3,0.4,0.2,0.01,0.23322725044548048,21
1.5,1.4618761501806083,0.7,0.3,0.4,0.2,0.001,0.0660556309219572,22
0.5,1.5863790612004756,1.2,0.7,0.4,0.002,0.01,0.2810492766173824,23
1.10673530160691,4.550768723521362,0.8569948046213662,0.6347460856621148,0.4,0.002,0.01,0.22564623221928873,24
1.5,3.315037021651395,1.2,0.3,0.1,0.002,0.01,0.1635471128483674,25
0.5,1.6531526742090095,0.7,0.7,0.1,0.2,0.001,0.03899621914106885,26
0.5,0.1,0.7,0.7,0.4,0.002,0.01,0.24237700301015985,27
0.5,0.6452220110810777,1.2,0.7,0.4,0.002,0.01,0.27983402958757597,28
1.5,4.633602140423808,0.7,0.3,0.1,0.002,0.001,0.28502164431318167,29
0.5,3.1884017731192067,0.7,0.3,0.1,0.002,0.01,0.17351033292600113,30
1.5,5.0,1.2,0.7,0.4,0.002,0.01,0.25752990468911763,31
0.5,2.316059109339029,1.2,0.3,0.4,0.2,0.01,0.22983265700060018,32
1.5,4.665609457286297,1.0245824661890632,0.3,0.4,0.002,0.01,0.16575076976745773,33
0.5,3.5602628069961217,1.2,0.7,0.4,0.2,0.01,0.2834663431331139,34
1.5,0.1,0.7,0.7,0.4,0.2,0.01,0.2793618434425369,35
1.5,0.1,1.2,0.7,0.1,0.2,0.01,0.3044908676787268,36
0.5,1.234436627603107,0.7,0.3,0.4,0.002,0.01,0.18269607912126978,37
1.1103179919636388,3.5370819273507785,1.2,0.7,0.1,0.2,0.01,0.2994303832126385,38
1.0731980107652046,0.1,0.7,0.7,0.1,0.2,0.01,0.26670937121554317,39
