script begin 2018-07-17 13:26:10.043443
[31mInitialization[0m
[94m-----------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |     c_rt1 |     c_rt2 |      w_a1 |   w_xy_rt |      w_z1 |      w_z2 | 
    1 | 25m06s | [35m   0.44370[0m | [32m   1.2209[0m | [32m   0.9176[0m | [32m   0.9403[0m | [32m   0.0444[0m | [32m   0.5232[0m | [32m   0.1289[0m | 
    2 | 25m13s | [35m   0.49311[0m | [32m   1.5144[0m | [32m   0.0494[0m | [32m   0.9225[0m | [32m   0.0158[0m | [32m   0.6021[0m | [32m   0.3913[0m | 
    3 | 25m02s |    0.38699 |    0.5224 |    0.4423 |    0.9073 |    0.0479 |    0.3455 |    0.3426 | 
[31mBayesian Optimization[0m
[94m-----------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |     c_rt1 |     c_rt2 |      w_a1 |   w_xy_rt |      w_z1 |      w_z2 | 
    4 | 24m48s |    0.31550 |    2.0000 |    0.0000 |    1.2000 |    0.1000 |    0.3000 |    0.1000 | 
    5 | 25m01s |    0.47367 |    2.0000 |    1.0000 |    0.9000 |    0.0001 |    0.7000 |    0.4000 | 
    6 | 25m32s |    0.43771 |    0.5000 |    0.0000 |    1.2000 |    0.0001 |    0.7000 |    0.1000 | 
    7 | 24m56s |    0.28732 |    0.7671 |    1.0000 |    1.2000 |    0.1000 |    0.7000 |    0.4000 | 
    8 | 25m29s |    0.44713 |    2.0000 |    0.0000 |    0.9000 |    0.0001 |    0.7000 |    0.1000 | 
    9 | 26m09s |    0.31157 |    0.9073 |    0.0000 |    0.9000 |    0.1000 |    0.7000 |    0.1000 | 
   10 | 25m30s |    0.33483 |    2.0000 |    1.0000 |    0.9000 |    0.0001 |    0.3000 |    0.1000 | 
   11 | 24m55s |    0.44896 |    2.0000 |    0.3996 |    1.2000 |    0.0001 |    0.7000 |    0.4000 | 
   12 | 24m17s |    0.43798 |    0.5000 |    0.0000 |    1.2000 |    0.0001 |    0.3000 |    0.4000 | 
   13 | 24m54s |    0.45485 |    2.0000 |    0.0000 |    0.9000 |    0.0001 |    0.3000 |    0.4000 | 
   14 | 25m07s |    0.38839 |    0.5000 |    1.0000 |    1.2000 |    0.0001 |    0.3000 |    0.1000 | 
   15 | 24m57s |    0.47638 |    1.3076 |    1.0000 |    0.9000 |    0.0001 |    0.3000 |    0.4000 | 
   16 | 25m46s |    0.48483 |    1.6078 |    0.5686 |    0.9000 |    0.0001 |    0.7000 |    0.4000 | 
   17 | 25m40s |    0.29921 |    2.0000 |    0.0000 |    0.9000 |    0.1000 |    0.7000 |    0.4000 | 
   18 | 25m19s |    0.40194 |    1.1474 |    0.1677 |    1.2000 |    0.0001 |    0.3000 |    0.1000 | 
   19 | 26m19s |    0.42922 |    0.5000 |    1.0000 |    0.9000 |    0.0001 |    0.7000 |    0.1000 | 
   20 | 25m40s |    0.47343 |    1.6661 |    1.0000 |    1.2000 |    0.0001 |    0.7000 |    0.1000 | 
   21 | 26m05s |    0.47498 |    1.3350 |    0.0000 |    1.2000 |    0.0001 |    0.7000 |    0.4000 | 
   22 | 26m27s |    0.43682 |    0.5000 |    0.0000 |    0.9000 |    0.0001 |    0.7000 |    0.4000 | 
   23 | 26m49s |    0.34841 |    0.5000 |    0.0000 |    0.9000 |    0.0001 |    0.3000 |    0.1000 | 
   24 | 26m01s |    0.47377 |    1.3510 |    0.0000 |    0.9000 |    0.0001 |    0.3000 |    0.4000 | 
   25 | 26m11s |    0.43700 |    0.5000 |    1.0000 |    0.9000 |    0.0001 |    0.3000 |    0.4000 | 
   26 | 26m31s |    0.48925 |    1.2966 |    1.0000 |    0.9000 |    0.0001 |    0.7000 |    0.4000 | 
   27 | 26m37s |    0.47109 |    1.6375 |    0.0000 |    1.2000 |    0.0001 |    0.7000 |    0.1000 | 
   28 | 25m35s |    0.46681 |    1.6911 |    0.0000 |    1.2000 |    0.0001 |    0.3000 |    0.4000 | 
   29 | 26m08s |    0.44845 |    2.0000 |    1.0000 |    1.2000 |    0.0001 |    0.7000 |    0.4000 | 
   30 | 26m57s |    0.45598 |    1.5320 |    1.0000 |    0.9000 |    0.0001 |    0.7000 |    0.1000 | 
   31 | 26m25s |    0.49190 |    1.0669 |    0.5600 |    0.9000 |    0.0001 |    0.5455 |    0.4000 | 
   32 | 26m48s |    0.48632 |    1.2325 |    0.6546 |    1.2000 |    0.0001 |    0.7000 |    0.1000 | 
   33 | 25m52s |    0.48796 |    1.5240 |    0.3716 |    1.0740 |    0.0001 |    0.4561 |    0.4000 | 
